起点ID,起点类型,关系名称,终点ID,终点类型,示例
20fdc8052accfa0f,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,苏轼 → 活跃于 → 宋代
abd1c0467a429725,作者实体,活跃于,77d92920cd7e0455,朝代实体,唐珙 → 活跃于 → 元代
23c0589212945272,作者实体,活跃于,7c9b0bd88bc951f0,朝代实体,纳兰性德 → 活跃于 → 清代
6453963910204781,作者实体,活跃于,d594bdc54e3f5f2d,朝代实体,佚名 → 活跃于 → 先秦
b512647e6bfc6bf2,作者实体,活跃于,894d547a09e3f90f,朝代实体,唐寅 → 活跃于 → 明代
2e92d630d57b930a,作者实体,活跃于,2b45004ffdb9e977,朝代实体,元稹 → 活跃于 → 唐代
d0f9c3482ddf79bb,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,辛弃疾 → 活跃于 → 宋代
a6d8a1ee3205c49c,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,范成大 → 活跃于 → 宋代
7aa4ba2fcda7016f,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,刘过 → 活跃于 → 宋代
e2f5c16b63310f11,作者实体,活跃于,2b45004ffdb9e977,朝代实体,贯休 → 活跃于 → 唐代
dfc1cfc293757d00,作者实体,活跃于,2b45004ffdb9e977,朝代实体,杜荀鹤 → 活跃于 → 唐代
293040fc607f40ca,作者实体,活跃于,2b45004ffdb9e977,朝代实体,李白 → 活跃于 → 唐代
5d7e379ac8cd6289,作者实体,活跃于,2b45004ffdb9e977,朝代实体,白居易 → 活跃于 → 唐代
c35572fca237617b,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,黄庭坚 → 活跃于 → 宋代
81d0662f476a4886,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,欧阳修 → 活跃于 → 宋代
274513e0ef9d9d11,作者实体,活跃于,2b45004ffdb9e977,朝代实体,温庭筠 → 活跃于 → 唐代
dd5d4c33d8c4c12a,作者实体,活跃于,2b45004ffdb9e977,朝代实体,王昌龄 → 活跃于 → 唐代
40b647076ee1d275,作者实体,活跃于,2b45004ffdb9e977,朝代实体,孟郊 → 活跃于 → 唐代
a35aad4bb88e02e2,作者实体,活跃于,2b45004ffdb9e977,朝代实体,刘禹锡 → 活跃于 → 唐代
7ed2da0d1c2553c6,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,郑思肖 → 活跃于 → 宋代
a2c9143b08ee3e71,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,李之仪 → 活跃于 → 宋代
d4c00df8a751e1e3,作者实体,活跃于,77d92920cd7e0455,朝代实体,徐再思 → 活跃于 → 元代
2af0e74c74481fc3,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,秦观 → 活跃于 → 宋代
b3d0ab90d716e45f,作者实体,活跃于,2b45004ffdb9e977,朝代实体,崔护 → 活跃于 → 唐代
4c6293d09f74fbdb,作者实体,活跃于,2b45004ffdb9e977,朝代实体,李益 → 活跃于 → 唐代
692a943572a316d4,作者实体,活跃于,7c9b0bd88bc951f0,朝代实体,黄景仁 → 活跃于 → 清代
0f2226dc96ffd389,作者实体,活跃于,2b45004ffdb9e977,朝代实体,李商隐 → 活跃于 → 唐代
07d9cc211bb0b828,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,陆游 → 活跃于 → 宋代
a374097275e57303,作者实体,活跃于,2b45004ffdb9e977,朝代实体,王维 → 活跃于 → 唐代
49d2403b99d6845a,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,晏殊 → 活跃于 → 宋代
e188a71cb7b7a92b,作者实体,活跃于,34a357a47ee484a9,朝代实体,李煜 → 活跃于 → 五代
9326358349a8556b,作者实体,活跃于,2b45004ffdb9e977,朝代实体,高蟾 → 活跃于 → 唐代
7595c7235c6fc8f1,作者实体,活跃于,2b45004ffdb9e977,朝代实体,韦应物 → 活跃于 → 唐代
1f56ff157a1eedf1,作者实体,活跃于,8a1dda8fe4d6ad38,朝代实体,林逋 → 活跃于 → 宋代
